day,date,month,start,end,title,pdf,ipynb,speaker,institution,youtube,dataset
Monday,10,June,8:00,9:00,arrivals,,,,,,
Monday,10,June,9:00,10:30,Introduction to GPs,talks/Sheffield-GPSS2013-Lawrence1.pdf,,Neil Lawrence,University of Sheffield,,
Monday,10,June,coffee break,,,,,,
Monday,10,June,11:00,12:30,Introduction to GPs,talks/Sheffield-GPSS2013-Turner.pdf,,Richard Turner,University of Cambridge,,
Monday,10,June,,,lunch,,,,,,
Monday,10,June,13:30,15:30,Lab Session: GP models with GPy,labs/lab1.pdf,,,,,
Monday,10,June,,,coffee break,,,,,,
Monday,10,June,16:00,17:30,Kernel Design,talks/Sheffield-GPSS2013-Durrande.pdf,,Nicolas Durrande,University of Sheffield,,
Tuesday,11,June,9:00,10:30,Multi-output GPs,talks/Sheffield-GPSS2013-Lawrence2.pdf,,Neil Lawrence,University of Sheffield,,
Tuesday,11,June,,,coffee break,,,,,,
Tuesday,11,June,11:00,12:00,Sparse GPs,talks/Sheffield-GPSS2013-Hensman.pdf,,James Hensman,University of Sheffield,,
Tuesday,11,June,12:00,12:30,Expectation propagation,talks/Sheffield-GPSS2013-Andrade.pdf,Ricardo Andrade,University of Sheffield,,
Tuesday,11,June,,,lunch,,,,,,
Tuesday,11,June,13:30,15:30,Lab Session: Sparse GPs with GPy,labs/lab2.pdf,,,,,labs/lab2-dataset.zip
Tuesday,11,June,,,coffee break,,,,,,
Tuesday,11,June,16:00,17:30,GPs for Uncertainty Quantification in Computer Experiments,talks/Sheffield-GPSS2013-Wilkinson.pdf,,Richard Wilkinson**,University of Nottingham,,
Wednesday,12,June,9:00,10:00,,,GPs for Optimisation,talks/Sheffield-GPSS2013-Osborne.pdf,,Michael Osborne,University of Oxford,,
Wednesday,12,June,,,coffee break,,,,,,
Wednesday,12,June,10:30,11:30,GPs for Optimisation,talks/Sheffield-GPSS2013-Hennig.pdf,,Philipp Hennig,MPI Tuebingen,,
Wednesday,12,June,11:30,12:30,GPs latent variable models,assets/Sheffield-GPSS2013-Lawrence3.pdf,,Neil Lawrence,University of Sheffield,,
Wednesday,12,June,,,lunch,,,,,,
Wednesday,12,June,13:30,15:30,Lab Session: Latent variable models with GPy,assets/lab3.pdf,,,,,labs/lab3-dataset.zip
Wednesday,12,June,,,coffee break,,,,,,                           
Wednesday,12,June,16:00,17:30,State space representation of GPs,talks/Sheffield-GPSS2013-Sarkka.pdf,,Simo Särkkä,Aalto University,,
